,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,1
42,0
43,1
44,0
45,1
46,0
47,0
48,0
49,0
50,1
51,1
52,3
53,0
54,0
55,1
56,0
57,1
58,3
59,3
60,3
61,1
62,2
63,5
64,14
65,7
66,7
67,7
68,9
69,4
70,6
71,6
72,14
73,15
74,12
75,9
76,15
77,8
78,8
79,7
80,11
81,10
82,7
83,9
84,8
85,13
86,13
87,7
88,17
89,9
90,15
91,22
92,17
93,20
94,7
95,12
96,9
97,12
98,8
99,8
100,12
101,9
102,10
103,9
104,5
105,9
106,5
107,20
108,12
109,11
110,5
111,7
112,8
113,5
114,5
115,5
116,8
117,28
118,15
119,9
120,5
121,4
122,6
123,6
124,2
125,7
126,13
127,5
128,7
129,6
130,4
131,10
132,8
133,6
134,6
135,11
136,5
137,8
138,1
139,7
140,7
141,7
142,11
143,14
144,15
145,10
146,9
147,12
148,4
149,3
150,11
151,7
152,10
153,6
154,7
155,6
156,8
157,14
158,8
159,9
160,10
161,8
162,13
163,13
164,6
165,11
166,12
167,13
168,20
169,14
170,9
171,9
172,15
173,11
174,15
175,15
176,13
177,8
178,12
179,16
180,15
181,13
182,11
183,14
184,22
185,19
186,14
187,16
188,8
189,6
190,15
191,11
192,11
193,18
194,9
195,9
196,11
197,15
198,13
199,15
200,18
201,22
202,25
203,15
204,6
205,12
206,5
207,18
208,14
209,11
210,10
211,17
212,7
213,29
214,16
215,13
216,14
217,13
218,8
219,8
220,11
221,24
222,13
223,17
224,13
225,11
226,11
227,11
228,7
229,14
230,7
231,11
232,11
233,11
234,10
235,10
236,9
237,12
238,19
239,10
240,14
241,11
242,17
243,14
244,12
245,17
246,29
247,12
248,20
249,19
250,21
251,11
252,12
253,3
254,14
255,16
256,13
257,12
258,7
259,16
260,12
261,11
262,13
263,8
264,11
265,10
266,7
267,9
268,9
269,10
270,11
271,11
272,19
273,13
274,17
275,12
276,14
277,19
278,23
279,19
280,10
281,23
282,18
283,23
284,14
285,22
286,18
287,28
288,20
289,14
290,14
291,16
292,20
293,18
294,12
295,18
296,15
297,18
298,16
299,20
300,21
301,29
302,28
303,18
304,16
305,9
306,6
307,9
308,13
309,6
310,13
311,11
312,17
313,11
314,20
315,14
316,13
317,11
318,8
319,8
320,10
321,8
322,12
323,11
324,12
325,13
326,8
327,10
328,12
329,10
330,11
331,6
332,11
333,11
334,6
335,10
336,18
337,12
338,12
339,17
340,18
341,20
342,16
343,18
344,19
345,22
346,15
347,12
348,25
349,10
350,10
351,7
352,8
353,10
354,8
355,9
356,9
357,10
358,10
359,15
360,11
361,9
362,11
363,7
364,7
365,6
366,13
367,21
368,17
369,9
370,14
371,14
372,18
373,13
374,14
375,21
376,9
377,7
378,15
379,15
380,13
381,23
382,17
383,7
384,10
385,15
386,4
387,9
388,9
389,6
390,9
391,12
392,12
393,12
394,7
395,14
396,9
397,8
398,12
399,7
400,15
401,12
402,7
403,17
404,16
405,16
406,12
407,12
408,13
409,18
410,22
411,20
412,17
413,14
414,17
415,14
416,17
417,8
418,9
419,11
420,15
421,11
422,11
423,14
424,6
425,10
426,7
427,13
428,12
429,12
430,11
431,14
432,12
433,13
434,14
435,10
436,10
437,14
438,16
439,12
440,9
441,4
442,9
443,16
444,8
445,8
446,11
447,8
448,11
449,13
450,11
451,10
452,12
453,9
454,12
455,14
456,13
457,13
458,18
459,16
460,11
461,8
462,15
463,7
464,9
465,14
466,3
467,5
468,6
469,4
470,7
471,7
472,5
473,5
474,5
475,8
476,8
477,9
478,3
479,7
480,13
481,9
482,6
483,9
484,6
485,7
486,4
487,7
488,7
489,8
490,6
491,5
492,5
493,4
494,7
495,3
496,5
497,7
498,3
499,7
500,1
501,8
502,4
503,2
504,5
505,8
506,6
507,5
508,4
509,4
510,5
511,6
512,4
513,5
514,6
515,9
516,4
517,3
518,5
519,2
520,8
521,5
522,5
523,7
524,2
525,6
526,7
527,11
528,1
529,4
530,1
531,7
532,5
