,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,1
47,1
48,0
49,1
50,0
51,4
52,0
53,1
54,2
55,0
56,2
57,3
58,2
59,2
60,2
61,5
62,1
63,5
64,2
65,5
66,2
67,2
68,1
69,1
70,3
71,4
72,3
73,8
74,8
75,4
76,6
77,5
78,7
79,6
80,6
81,8
82,2
83,5
84,4
85,8
86,4
87,6
88,3
89,5
90,11
91,5
92,10
93,10
94,8
95,8
96,10
97,9
98,7
99,11
100,7
101,7
102,3
103,9
104,9
105,7
106,10
107,8
108,8
109,8
110,9
111,7
112,7
113,6
114,16
115,11
116,9
117,12
118,8
119,5
120,10
121,11
122,5
123,6
124,7
125,6
126,3
127,13
128,8
129,4
130,9
131,9
132,6
133,2
134,5
135,7
136,11
137,5
138,4
139,4
140,5
141,9
142,5
143,11
144,10
145,12
146,6
147,10
148,8
149,10
150,8
151,16
152,17
153,24
154,21
155,11
156,14
157,10
158,14
159,11
160,8
161,16
162,8
163,42
164,12
165,16
166,10
167,12
168,19
169,11
170,13
171,12
172,17
173,23
174,19
175,19
176,13
177,17
178,13
179,13
180,7
181,13
182,16
183,13
184,12
185,14
186,8
187,17
188,14
189,15
190,16
191,20
192,18
193,15
194,20
195,8
196,14
197,14
198,18
199,3
200,12
201,15
202,16
203,9
204,29
205,14
206,12
207,13
208,9
209,10
210,16
211,16
212,13
213,23
214,12
215,23
216,10
217,8
218,11
219,9
220,13
221,11
222,15
223,20
224,14
225,16
226,24
227,22
228,22
229,17
230,19
231,13
232,11
233,6
234,5
235,11
236,10
237,9
238,9
239,7
240,12
241,11
242,16
243,16
244,12
245,29
246,10
247,12
248,9
249,8
250,5
251,12
252,7
253,11
254,10
255,7
256,5
257,9
258,6
259,8
260,8
261,14
262,8
263,11
264,6
265,10
266,13
267,13
268,11
269,15
270,20
271,15
272,18
273,28
274,17
275,17
276,12
277,18
278,12
279,18
280,14
281,22
282,22
283,15
284,18
285,20
286,16
287,15
288,8
289,11
290,10
291,10
292,13
293,17
294,19
295,16
296,15
297,20
298,15
299,15
300,19
301,14
302,8
303,8
304,13
305,16
306,8
307,13
308,14
309,14
310,20
311,9
312,11
313,10
314,24
315,7
316,10
317,8
318,6
319,8
320,12
321,10
322,11
323,17
324,12
325,12
326,13
327,13
328,12
329,16
330,8
331,15
332,12
333,15
334,16
335,9
336,13
337,7
338,14
339,13
340,10
341,9
342,8
343,13
344,17
345,11
346,16
347,9
348,9
349,13
350,16
351,15
352,17
353,15
354,15
355,20
356,22
357,17
358,24
359,13
360,13
361,11
362,11
363,13
364,12
365,16
366,13
367,9
368,14
369,18
370,13
371,15
372,15
373,11
374,11
375,11
376,15
377,23
378,19
379,21
380,9
381,24
382,8
383,8
384,12
385,18
386,12
387,8
388,8
389,11
390,12
391,15
392,16
393,9
394,16
395,9
396,12
397,12
398,12
399,18
400,6
401,10
402,13
403,12
404,14
405,9
406,5
407,5
408,5
409,12
410,9
411,5
412,6
413,10
414,8
415,6
416,5
417,9
418,9
419,7
420,8
421,6
422,6
423,5
424,9
425,11
426,3
427,8
428,8
429,4
430,11
431,9
432,5
433,7
434,5
435,6
436,3
437,8
438,11
439,8
440,8
441,2
442,5
443,8
444,11
445,8
446,8
447,12
448,8
449,7
450,16
451,13
452,11
453,9
454,9
455,8
456,2
457,11
458,7
459,6
460,4
461,9
462,10
463,9
464,8
465,10
466,5
467,19
468,14
469,6
470,9
471,7
472,8
473,14
474,14
475,5
476,9
477,5
478,5
479,7
480,6
481,6
482,4
483,5
484,6
485,6
486,2
487,12
488,9
489,3
490,5
491,6
492,9
493,7
494,5
495,8
496,3
497,8
498,10
499,10
500,6
501,7
502,6
503,11
504,1
505,5
506,7
507,5
508,6
509,8
510,4
511,3
512,2
513,12
514,4
515,5
516,8
517,4
518,4
519,5
520,4
521,7
522,7
523,3
524,3
525,5
526,8
527,8
528,8
529,4
530,4
531,8
532,9
