,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,1
45,0
46,0
47,2
48,1
49,0
50,0
51,1
52,0
53,0
54,4
55,2
56,1
57,5
58,0
59,4
60,6
61,5
62,8
63,6
64,8
65,10
66,7
67,4
68,8
69,7
70,13
71,11
72,8
73,13
74,22
75,15
76,17
77,17
78,14
79,12
80,11
81,16
82,15
83,7
84,9
85,9
86,9
87,11
88,6
89,11
90,8
91,16
92,16
93,10
94,11
95,5
96,8
97,14
98,9
99,15
100,13
101,11
102,11
103,8
104,12
105,12
106,14
107,5
108,9
109,17
110,11
111,21
112,21
113,31
114,21
115,20
116,15
117,15
118,16
119,14
120,17
121,13
122,9
123,18
124,16
125,19
126,20
127,18
128,37
129,17
130,17
131,20
132,14
133,8
134,13
135,12
136,11
137,14
138,10
139,9
140,9
141,8
142,8
143,9
144,11
145,15
146,13
147,17
148,13
149,18
150,22
151,16
152,13
153,17
154,9
155,13
156,19
157,12
158,13
159,21
160,17
161,8
162,12
163,12
164,14
165,10
166,16
167,23
168,15
169,8
170,9
171,7
172,7
173,19
174,14
175,15
176,14
177,13
178,11
179,15
180,14
181,15
182,9
183,8
184,11
185,18
186,15
187,12
188,11
189,13
190,17
191,11
192,10
193,16
194,18
195,23
196,20
197,18
198,12
199,18
200,12
201,10
202,16
203,24
204,22
205,17
206,15
207,22
208,21
209,19
210,15
211,9
212,22
213,22
214,13
215,14
216,21
217,26
218,7
219,16
220,13
221,12
222,12
223,12
224,15
225,12
226,18
227,24
228,25
229,14
230,16
231,11
232,19
233,9
234,11
235,17
236,16
237,18
238,16
239,17
240,14
241,13
242,17
243,20
244,10
245,13
246,14
247,12
248,9
249,14
250,17
251,13
252,15
253,9
254,12
255,11
256,10
257,12
258,16
259,23
260,12
261,15
262,14
263,15
264,13
265,17
266,16
267,10
268,18
269,12
270,13
271,17
272,21
273,25
274,18
275,25
276,23
277,20
278,17
279,11
280,13
281,14
282,13
283,13
284,9
285,12
286,10
287,9
288,14
289,16
290,9
291,12
292,16
293,14
294,8
295,18
296,18
297,13
298,10
299,15
300,10
301,11
302,10
303,19
304,12
305,12
306,10
307,12
308,14
309,6
310,13
311,8
312,4
313,12
314,19
315,9
316,20
317,17
318,16
319,14
320,12
321,10
322,7
323,9
324,7
325,9
326,16
327,16
328,17
329,15
330,23
331,12
332,17
333,9
334,11
335,9
336,9
337,7
338,11
339,5
340,5
341,7
342,7
343,9
344,6
345,9
346,3
347,6
348,4
349,5
350,4
351,11
352,9
353,9
354,10
355,10
356,7
357,7
358,5
359,13
360,10
361,10
362,16
363,16
364,14
365,9
366,5
367,9
368,11
369,18
370,9
371,5
372,12
373,8
374,7
375,8
376,5
377,10
378,12
379,8
380,4
381,10
382,5
383,8
384,10
385,11
386,11
387,10
388,23
389,9
390,5
391,8
392,3
393,6
394,8
395,6
396,15
397,11
398,8
399,11
400,4
401,4
402,9
403,8
404,12
405,7
406,7
407,7
408,5
409,4
410,5
411,10
412,8
413,10
414,21
415,13
416,7
417,8
418,10
419,9
420,8
421,7
422,6
423,8
424,5
425,4
426,8
427,10
428,9
429,4
430,9
431,3
432,5
433,4
434,7
435,9
436,4
437,8
438,1
439,4
440,9
441,8
442,5
443,5
444,24
445,6
446,2
447,7
448,5
449,1
450,5
451,3
452,4
453,4
454,3
455,4
456,4
457,3
458,5
459,3
460,8
461,8
462,7
463,9
464,10
465,9
466,2
467,4
468,6
469,7
470,8
471,7
472,5
473,7
474,6
475,5
476,7
477,5
478,1
479,3
480,4
481,7
482,5
483,8
484,3
485,5
486,3
487,5
488,6
489,4
490,7
491,0
492,7
493,10
494,2
495,7
496,6
497,3
498,6
499,6
500,6
501,6
502,7
503,7
504,4
505,10
506,12
507,13
508,11
509,8
510,6
511,4
512,7
513,8
514,8
515,4
516,2
517,2
518,1
519,3
520,3
521,4
522,5
523,2
524,2
525,2
526,3
527,2
528,6
529,3
530,3
531,3
532,2
