,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,1
46,0
47,1
48,1
49,1
50,1
51,3
52,12
53,3
54,7
55,4
56,4
57,3
58,4
59,4
60,5
61,8
62,8
63,8
64,14
65,9
66,21
67,8
68,10
69,11
70,3
71,13
72,11
73,17
74,12
75,8
76,38
77,11
78,19
79,10
80,10
81,7
82,10
83,13
84,9
85,12
86,2
87,7
88,11
89,11
90,12
91,10
92,18
93,13
94,22
95,13
96,6
97,11
98,11
99,7
100,9
101,14
102,10
103,12
104,11
105,11
106,13
107,18
108,11
109,13
110,24
111,21
112,21
113,18
114,33
115,21
116,30
117,19
118,28
119,20
120,11
121,17
122,10
123,17
124,15
125,8
126,16
127,10
128,14
129,13
130,15
131,12
132,15
133,14
134,11
135,13
136,11
137,15
138,10
139,17
140,15
141,11
142,6
143,16
144,9
145,8
146,10
147,9
148,6
149,10
150,11
151,7
152,7
153,10
154,10
155,9
156,7
157,15
158,12
159,9
160,8
161,9
162,6
163,11
164,10
165,19
166,20
167,20
168,15
169,12
170,7
171,9
172,10
173,13
174,11
175,10
176,16
177,14
178,6
179,23
180,22
181,19
182,11
183,17
184,13
185,16
186,15
187,9
188,10
189,8
190,14
191,14
192,5
193,14
194,27
195,23
196,23
197,14
198,11
199,14
200,20
201,15
202,14
203,23
204,12
205,12
206,14
207,18
208,12
209,15
210,20
211,14
212,12
213,18
214,20
215,16
216,15
217,13
218,9
219,20
220,8
221,5
222,10
223,10
224,12
225,9
226,11
227,9
228,13
229,7
230,6
231,14
232,18
233,9
234,8
235,5
236,6
237,5
238,16
239,17
240,6
241,11
242,5
243,8
244,10
245,15
246,15
247,6
248,9
249,10
250,15
251,13
252,17
253,14
254,11
255,9
256,10
257,18
258,26
259,17
260,10
261,20
262,13
263,27
264,13
265,15
266,19
267,15
268,22
269,23
270,18
271,15
272,18
273,9
274,10
275,9
276,14
277,9
278,14
279,10
280,10
281,9
282,15
283,5
284,5
285,8
286,9
287,10
288,8
289,8
290,6
291,10
292,11
293,14
294,7
295,15
296,8
297,10
298,6
299,7
300,15
301,5
302,12
303,9
304,5
305,8
306,9
307,10
308,14
309,7
310,17
311,8
312,12
313,10
314,9
315,7
316,13
317,4
318,7
319,10
320,7
321,11
322,6
323,4
324,8
325,5
326,4
327,12
328,12
329,10
330,7
331,11
332,8
333,9
334,10
335,5
336,9
337,7
338,7
339,7
340,10
341,5
342,9
343,7
344,12
345,5
346,10
347,4
348,7
349,8
350,16
351,10
352,14
353,6
354,6
355,13
356,14
357,12
358,8
359,5
360,9
361,7
362,10
363,13
364,9
365,6
366,9
367,8
368,6
369,7
370,7
371,2
372,5
373,7
374,10
375,11
376,7
377,11
378,6
379,5
380,10
381,5
382,3
383,9
384,14
385,7
386,5
387,11
388,7
389,8
390,10
391,9
392,11
393,10
394,17
395,14
396,13
397,4
398,13
399,10
400,12
401,9
402,14
403,12
404,12
405,10
406,10
407,14
408,7
409,10
410,7
411,11
412,7
413,6
414,8
415,14
416,7
417,5
418,11
419,13
420,9
421,7
422,12
423,11
424,11
425,15
426,4
427,8
428,12
429,12
430,8
431,9
432,9
433,9
434,10
435,9
436,8
437,11
438,8
439,4
440,7
441,14
442,10
443,8
444,8
445,9
446,6
447,11
448,5
449,8
450,6
451,8
452,10
453,5
454,13
455,9
456,7
457,6
458,12
459,5
460,7
461,4
462,2
463,9
464,11
465,7
466,8
467,14
468,11
469,5
470,6
471,4
472,9
473,6
474,8
475,12
476,9
477,6
478,7
479,7
480,3
481,4
482,13
483,7
484,5
485,10
486,9
487,4
488,5
489,12
490,6
491,11
492,6
493,9
494,6
495,7
496,10
497,5
498,12
499,7
500,9
501,5
502,8
503,9
504,11
505,9
506,7
507,3
508,10
509,8
510,11
511,11
512,7
513,12
514,10
515,13
516,10
517,7
518,10
519,6
520,10
521,12
522,6
523,6
524,14
525,6
526,10
527,5
528,8
529,9
530,10
531,11
532,9
