,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,1
50,1
51,1
52,0
53,3
54,0
55,3
56,3
57,0
58,3
59,3
60,1
61,3
62,3
63,4
64,1
65,3
66,1
67,4
68,3
69,2
70,6
71,4
72,6
73,4
74,3
75,7
76,9
77,11
78,8
79,8
80,3
81,13
82,4
83,8
84,5
85,7
86,7
87,14
88,4
89,10
90,20
91,15
92,14
93,25
94,16
95,16
96,19
97,15
98,10
99,16
100,33
101,14
102,9
103,12
104,9
105,7
106,5
107,13
108,10
109,11
110,9
111,10
112,5
113,9
114,14
115,5
116,7
117,11
118,8
119,11
120,5
121,10
122,11
123,9
124,14
125,14
126,17
127,32
128,14
129,23
130,15
131,24
132,16
133,12
134,16
135,18
136,13
137,24
138,18
139,14
140,16
141,17
142,13
143,11
144,19
145,8
146,12
147,17
148,20
149,11
150,9
151,11
152,12
153,12
154,12
155,11
156,7
157,12
158,15
159,13
160,8
161,7
162,18
163,12
164,16
165,11
166,11
167,15
168,13
169,16
170,9
171,9
172,15
173,11
174,11
175,12
176,11
177,11
178,10
179,14
180,16
181,12
182,18
183,10
184,18
185,22
186,19
187,10
188,11
189,17
190,17
191,9
192,14
193,14
194,3
195,7
196,6
197,17
198,14
199,8
200,9
201,7
202,12
203,11
204,14
205,14
206,8
207,11
208,20
209,13
210,10
211,9
212,11
213,10
214,13
215,15
216,17
217,9
218,16
219,11
220,10
221,12
222,19
223,12
224,13
225,10
226,16
227,10
228,23
229,15
230,14
231,20
232,24
233,23
234,17
235,12
236,15
237,8
238,22
239,17
240,15
241,22
242,10
243,12
244,18
245,9
246,15
247,8
248,12
249,10
250,16
251,14
252,8
253,17
254,4
255,15
256,13
257,16
258,5
259,11
260,12
261,18
262,28
263,17
264,13
265,21
266,8
267,16
268,12
269,18
270,19
271,26
272,19
273,16
274,26
275,46
276,36
277,16
278,15
279,27
280,30
281,31
282,25
283,13
284,22
285,11
286,15
287,14
288,14
289,9
290,15
291,19
292,14
293,19
294,13
295,18
296,21
297,13
298,17
299,18
300,15
301,13
302,7
303,14
304,5
305,12
306,11
307,10
308,13
309,7
310,15
311,12
312,11
313,10
314,9
315,12
316,10
317,10
318,12
319,12
320,20
321,7
322,12
323,9
324,10
325,16
326,12
327,11
328,17
329,9
330,10
331,11
332,16
333,13
334,7
335,14
336,11
337,12
338,6
339,15
340,14
341,7
342,8
343,8
344,14
345,15
346,18
347,10
348,13
349,22
350,20
351,10
352,16
353,10
354,6
355,9
356,13
357,10
358,12
359,10
360,13
361,13
362,13
363,10
364,14
365,19
366,22
367,14
368,16
369,9
370,19
371,12
372,7
373,6
374,11
375,13
376,20
377,16
378,11
379,12
380,18
381,4
382,7
383,10
384,11
385,9
386,12
387,8
388,18
389,3
390,4
391,5
392,9
393,8
394,9
395,13
396,7
397,9
398,4
399,4
400,20
401,3
402,10
403,3
404,8
405,6
406,6
407,2
408,8
409,4
410,13
411,11
412,13
413,5
414,9
415,5
416,10
417,7
418,11
419,11
420,9
421,9
422,3
423,6
424,10
425,6
426,5
427,3
428,10
429,9
430,10
431,5
432,4
433,3
434,5
435,9
436,8
437,4
438,3
439,8
440,7
441,5
442,11
443,3
444,4
445,6
446,5
447,4
448,10
449,4
450,3
451,6
452,5
453,5
454,10
455,10
456,2
457,7
458,2
459,5
460,4
461,5
462,8
463,5
464,8
465,8
466,5
467,5
468,7
469,6
470,4
471,7
472,8
473,7
474,4
475,4
476,5
477,7
478,4
479,8
480,7
481,7
482,7
483,1
484,8
485,7
486,6
487,5
488,6
489,11
490,14
491,6
492,2
493,4
494,6
495,6
496,7
497,8
498,5
499,5
500,3
501,6
502,5
503,5
504,10
505,10
506,10
507,6
508,6
509,3
510,3
511,5
512,2
513,3
514,1
515,3
516,5
517,4
518,4
519,4
520,2
521,5
522,4
523,11
524,6
525,7
526,4
527,6
528,3
529,3
530,3
531,4
532,2
