,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,1
46,0
47,0
48,1
49,0
50,3
51,1
52,4
53,2
54,3
55,4
56,4
57,11
58,4
59,3
60,5
61,7
62,12
63,7
64,14
65,18
66,15
67,14
68,11
69,5
70,12
71,12
72,9
73,8
74,6
75,12
76,14
77,7
78,6
79,5
80,8
81,8
82,19
83,11
84,11
85,7
86,18
87,14
88,4
89,8
90,4
91,9
92,4
93,10
94,14
95,6
96,8
97,8
98,9
99,7
100,10
101,9
102,10
103,8
104,5
105,8
106,8
107,12
108,5
109,3
110,4
111,7
112,4
113,4
114,8
115,4
116,7
117,10
118,10
119,9
120,10
121,13
122,25
123,12
124,14
125,15
126,17
127,26
128,23
129,12
130,12
131,10
132,18
133,20
134,11
135,9
136,28
137,11
138,9
139,9
140,7
141,9
142,7
143,13
144,15
145,9
146,12
147,12
148,15
149,12
150,6
151,10
152,11
153,8
154,6
155,11
156,12
157,10
158,10
159,11
160,7
161,11
162,8
163,16
164,23
165,18
166,15
167,16
168,15
169,12
170,16
171,13
172,14
173,9
174,17
175,14
176,11
177,16
178,5
179,8
180,17
181,29
182,6
183,12
184,5
185,18
186,13
187,5
188,10
189,4
190,9
191,8
192,9
193,7
194,5
195,4
196,6
197,16
198,9
199,16
200,17
201,18
202,11
203,13
204,14
205,14
206,15
207,11
208,16
209,12
210,15
211,14
212,16
213,16
214,10
215,20
216,21
217,24
218,32
219,15
220,6
221,7
222,8
223,9
224,11
225,8
226,6
227,6
228,9
229,6
230,6
231,9
232,11
233,12
234,10
235,15
236,3
237,11
238,10
239,11
240,14
241,11
242,12
243,14
244,10
245,17
246,14
247,11
248,12
249,14
250,9
251,10
252,21
253,9
254,8
255,9
256,10
257,7
258,18
259,8
260,5
261,4
262,10
263,9
264,8
265,10
266,4
267,5
268,10
269,8
270,12
271,26
272,21
273,15
274,9
275,16
276,20
277,12
278,8
279,11
280,20
281,17
282,16
283,16
284,20
285,11
286,12
287,10
288,10
289,9
290,10
291,9
292,8
293,8
294,13
295,8
296,8
297,9
298,12
299,13
300,9
301,22
302,12
303,11
304,14
305,8
306,11
307,11
308,14
309,9
310,7
311,6
312,19
313,20
314,24
315,11
316,12
317,13
318,13
319,7
320,16
321,11
322,15
323,13
324,17
325,12
326,10
327,14
328,12
329,11
330,19
331,13
332,13
333,8
334,7
335,8
336,9
337,4
338,8
339,10
340,12
341,10
342,17
343,13
344,7
345,14
346,6
347,6
348,13
349,11
350,14
351,11
352,12
353,15
354,17
355,4
356,5
357,14
358,21
359,9
360,19
361,12
362,12
363,8
364,11
365,9
366,13
367,5
368,7
369,8
370,9
371,8
372,8
373,6
374,10
375,8
376,11
377,17
378,20
379,29
380,20
381,19
382,21
383,17
384,8
385,14
386,7
387,12
388,12
389,14
390,8
391,10
392,10
393,4
394,9
395,12
396,10
397,8
398,9
399,12
400,18
401,10
402,14
403,9
404,8
405,16
406,9
407,11
408,8
409,6
410,7
411,9
412,5
413,3
414,7
415,6
416,3
417,12
418,6
419,12
420,5
421,4
422,8
423,6
424,13
425,6
426,4
427,6
428,7
429,1
430,10
431,6
432,7
433,10
434,8
435,7
436,11
437,4
438,14
439,19
440,20
441,21
442,22
443,7
444,7
445,6
446,10
447,3
448,4
449,11
450,17
451,12
452,10
453,5
454,5
455,7
456,5
457,8
458,6
459,10
460,9
461,7
462,10
463,7
464,6
465,14
466,11
467,6
468,16
469,24
470,9
471,12
472,11
473,8
474,7
475,9
476,15
477,12
478,10
479,10
480,5
481,9
482,11
483,11
484,15
485,6
486,9
487,10
488,8
489,5
490,8
491,13
492,15
493,17
494,5
495,2
496,4
497,3
498,4
499,7
500,4
501,4
502,3
503,9
504,10
505,11
506,7
507,5
508,5
509,5
510,7
511,6
512,6
513,9
514,10
515,8
516,6
517,10
518,15
519,9
520,10
521,9
522,7
523,2
524,8
525,15
526,9
527,2
528,3
529,8
530,4
531,5
532,8
