4.221601383730265411e+01,4.262348485986984770e+01,4.050710565062401969e+01,4.488678852788194718e+01,1.799850014999499948e+01,2.924987762001948255e+01,4.591515971131923379e+01,4.413140819690492833e+01,2.299750029998000400e+01,1.799850014999499948e+01,4.234765668249060866e+01,1.799900004999999936e+01,1.799950000000000117e+01,4.413140819690492833e+01,3.511723869240675810e+01
6.408731849819102422e+01,6.649026851512395808e+01,6.634056483053653608e+01,7.071860147367817717e+01,4.505000975477233283e+01,6.051824883428539437e+01,5.845651362591200240e+01,6.880137446735341200e+01,4.505000975477233283e+01,4.248885311434410283e+01,6.709051088527907325e+01,2.299500119982001678e+01,2.599590077990001191e+01,6.756421255198007714e+01,6.129048953535340871e+01
8.077615921425143597e+01,8.958309414522365444e+01,9.052760400172914501e+01,7.568954744434932991e+01,6.554256731295298266e+01,6.549299461121297838e+01,6.343229006429086780e+01,8.880761162747232618e+01,6.064994594341527545e+01,6.149409592237498856e+01,7.706097133832665236e+01,2.798850484861528187e+01,6.064994594341527545e+01,8.965864105381928084e+01,7.866041343252889817e+01
8.873957824156551055e+01,1.085126802901846617e+02,1.104388577442839221e+02,8.565470948890502711e+01,7.532661383750378548e+01,7.546325391263194149e+01,7.340357951193341535e+01,1.110749240025470783e+02,7.404689825567518824e+01,7.146635427328848778e+01,8.602754728812404039e+01,3.297901239487158875e+01,7.404689825567518824e+01,1.083980762125147379e+02,8.491593750835448873e+01
9.969931606570717975e+01,1.139536546353282063e+02,1.215728914996451522e+02,9.061688954890001924e+01,8.029395691261819934e+01,8.542952883135642139e+01,8.237088406191142553e+01,1.223962426689501228e+02,8.763213966049532644e+01,1.122170756774463314e+02,9.098954096649947587e+01,4.096552548632561042e+01,8.763213966049532644e+01,1.148104619198577296e+02,8.913466052866002087e+01
1.296537265169320108e+02,1.291945720500576726e+02,1.385061509119312859e+02,1.005750893649884148e+02,9.025681721283467596e+01,8.315814974461626718e+01,8.533790422667311759e+01,1.337008759943547034e+02,1.294935430233372529e+02,1.296537265169320108e+02,1.009475544941404479e+02,8.315814974461626718e+01,1.023860508361629513e+02,1.314345792498039600e+02,9.909310136105045785e+01
1.465251821132068812e+02,1.465156837180342677e+02,1.484407105358654064e+02,1.055298107269341443e+02,1.098927367582237906e+02,1.098927367582237906e+02,9.529924280760687338e+01,1.483502806414424242e+02,1.479865357616050119e+02,1.465251821132068812e+02,1.059020896607644318e+02,9.510284034603897396e+01,1.073393670484361309e+02,1.457466300074171102e+02,1.040480637187991704e+02
1.609948517082494561e+02,1.680251982263863511e+02,1.583705040232942167e+02,1.154810553736065231e+02,1.215467676696375037e+02,1.248050280114117072e+02,1.012568014653143962e+02,1.582801193347763160e+02,1.521236256791360688e+02,1.680251982263863511e+02,1.158521484551640413e+02,1.010605968654619886e+02,1.215467676696375037e+02,1.542999123361350371e+02,1.139990493407857173e+02
1.647962745690272754e+02,1.799985270405264259e+02,1.632963334568743221e+02,1.267103780926086642e+02,1.479357166270727362e+02,1.317495342885579248e+02,1.108586782831441013e+02,1.632059939516631744e+02,1.611065034248491656e+02,1.799985270405264259e+02,1.257982329651028266e+02,1.267103780926086642e+02,1.479357166270727362e+02,1.634760428922886319e+02,1.199472598250633268e+02
1.728890880490936865e+02,1.947114850334997982e+02,1.732177008682263306e+02,1.416012136925528750e+02,1.583094341833198087e+02,1.396885714751996375e+02,1.158082588788868321e+02,1.731274065237347486e+02,1.708137085030552385e+02,1.947114850334997982e+02,1.307408451773156912e+02,1.416012136925528750e+02,1.583094341833198087e+02,1.681879476700139833e+02,1.278918968788693462e+02
