,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,1
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,2
46,2
47,3
48,1
49,0
50,0
51,2
52,2
53,1
54,4
55,2
56,7
57,2
58,3
59,7
60,4
61,5
62,8
63,13
64,12
65,11
66,13
67,10
68,6
69,13
70,12
71,10
72,15
73,6
74,10
75,13
76,17
77,9
78,8
79,5
80,6
81,4
82,4
83,6
84,10
85,8
86,7
87,11
88,7
89,9
90,3
91,9
92,8
93,5
94,11
95,8
96,13
97,5
98,10
99,7
100,8
101,13
102,6
103,10
104,13
105,9
106,10
107,16
108,3
109,7
110,14
111,34
112,20
113,11
114,14
115,14
116,18
117,10
118,8
119,6
120,7
121,9
122,12
123,3
124,8
125,10
126,5
127,2
128,9
129,13
130,8
131,12
132,9
133,11
134,10
135,11
136,7
137,4
138,7
139,8
140,7
141,3
142,7
143,13
144,7
145,11
146,7
147,20
148,7
149,10
150,20
151,15
152,14
153,13
154,14
155,10
156,14
157,12
158,13
159,18
160,19
161,15
162,11
163,11
164,12
165,17
166,9
167,13
168,11
169,9
170,17
171,16
172,21
173,21
174,19
175,10
176,12
177,15
178,12
179,7
180,8
181,7
182,13
183,6
184,8
185,11
186,11
187,10
188,16
189,6
190,14
191,13
192,13
193,9
194,12
195,3
196,9
197,7
198,7
199,5
200,5
201,7
202,5
203,5
204,3
205,4
206,4
207,7
208,8
209,11
210,7
211,6
212,2
213,8
214,5
215,8
216,12
217,5
218,6
219,9
220,6
221,20
222,6
223,10
224,9
225,9
226,9
227,18
228,7
229,10
230,9
231,7
232,10
233,11
234,13
235,7
236,14
237,17
238,11
239,7
240,11
241,6
242,6
243,10
244,8
245,17
246,14
247,5
248,10
249,4
250,9
251,12
252,13
253,10
254,2
255,7
256,14
257,11
258,7
259,9
260,7
261,7
262,8
263,9
264,9
265,5
266,11
267,5
268,11
269,7
270,5
271,9
272,8
273,8
274,9
275,8
276,14
277,30
278,8
279,18
280,23
281,21
282,17
283,15
284,11
285,25
286,17
287,13
288,10
289,18
290,14
291,24
292,15
293,18
294,18
295,11
296,7
297,8
298,8
299,9
300,17
301,7
302,3
303,11
304,9
305,12
306,17
307,11
308,12
309,9
310,8
311,11
312,14
313,13
314,13
315,13
316,7
317,11
318,7
319,6
320,12
321,20
322,5
323,10
324,8
325,7
326,3
327,5
328,10
329,9
330,11
331,13
332,12
333,6
334,18
335,9
336,10
337,12
338,7
339,9
340,11
341,12
342,17
343,15
344,9
345,10
346,12
347,18
348,16
349,12
350,9
351,9
352,18
353,17
354,9
355,11
356,12
357,12
358,16
359,11
360,13
361,10
362,12
363,9
364,9
365,13
366,8
367,12
368,15
369,12
370,8
371,12
372,19
373,20
374,8
375,4
376,6
377,13
378,12
379,5
380,12
381,5
382,6
383,11
384,5
385,10
386,10
387,9
388,2
389,7
390,6
391,8
392,9
393,7
394,8
395,7
396,8
397,10
398,12
399,9
400,12
401,13
402,15
403,15
404,9
405,24
406,13
407,8
408,7
409,9
410,9
411,12
412,8
413,13
414,9
415,17
416,18
417,11
418,16
419,12
420,14
421,18
422,25
423,12
424,12
425,10
426,11
427,12
428,18
429,7
430,12
431,11
432,6
433,9
434,13
435,11
436,9
437,16
438,10
439,12
440,8
441,13
442,11
443,6
444,12
445,8
446,5
447,16
448,7
449,9
450,10
451,8
452,8
453,5
454,17
455,9
456,7
457,10
458,8
459,8
460,10
461,6
462,7
463,13
464,8
465,10
466,10
467,7
468,10
469,10
470,7
471,11
472,11
473,9
474,22
475,10
476,11
477,7
478,14
479,6
480,8
481,11
482,9
483,8
484,10
485,8
486,14
487,6
488,8
489,6
490,14
491,8
492,9
493,10
494,7
495,7
496,5
497,14
498,7
499,6
500,8
501,8
502,13
503,8
504,5
505,8
506,13
507,10
508,11
509,12
510,3
511,14
512,15
513,7
514,12
515,14
516,6
517,8
518,7
519,8
520,16
521,14
522,9
523,8
524,4
525,9
526,9
527,8
528,7
529,7
530,13
531,5
532,6
