,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,1
38,0
39,0
40,1
41,0
42,0
43,2
44,0
45,0
46,0
47,1
48,2
49,0
50,2
51,3
52,1
53,2
54,1
55,3
56,3
57,9
58,5
59,4
60,3
61,0
62,9
63,7
64,5
65,13
66,7
67,3
68,7
69,2
70,11
71,7
72,6
73,18
74,10
75,13
76,16
77,6
78,6
79,11
80,13
81,11
82,11
83,15
84,18
85,15
86,14
87,9
88,12
89,15
90,10
91,14
92,10
93,9
94,16
95,17
96,11
97,12
98,19
99,13
100,9
101,27
102,18
103,20
104,15
105,20
106,25
107,14
108,20
109,9
110,20
111,15
112,20
113,14
114,15
115,15
116,13
117,12
118,17
119,14
120,17
121,11
122,18
123,10
124,18
125,7
126,14
127,17
128,17
129,7
130,10
131,12
132,4
133,11
134,6
135,11
136,15
137,7
138,10
139,12
140,16
141,15
142,7
143,19
144,9
145,8
146,19
147,15
148,15
149,29
150,14
151,15
152,14
153,10
154,11
155,16
156,18
157,9
158,4
159,13
160,16
161,12
162,9
163,16
164,10
165,16
166,18
167,21
168,23
169,23
170,27
171,29
172,43
173,24
174,19
175,32
176,27
177,21
178,20
179,13
180,11
181,19
182,12
183,15
184,15
185,9
186,9
187,19
188,18
189,8
190,13
191,15
192,16
193,11
194,16
195,15
196,13
197,21
198,20
199,25
200,26
201,16
202,9
203,17
204,14
205,12
206,17
207,12
208,13
209,9
210,8
211,5
212,8
213,9
214,15
215,18
216,14
217,16
218,21
219,20
220,32
221,28
222,13
223,14
224,9
225,16
226,19
227,15
228,8
229,11
230,14
231,16
232,10
233,11
234,10
235,15
236,16
237,13
238,22
239,11
240,14
241,14
242,23
243,16
244,28
245,8
246,15
247,15
248,8
249,18
250,21
251,17
252,13
253,13
254,10
255,14
256,11
257,10
258,11
259,19
260,15
261,16
262,11
263,10
264,10
265,16
266,15
267,20
268,14
269,15
270,12
271,8
272,13
273,20
274,11
275,14
276,18
277,7
278,10
279,12
280,9
281,10
282,17
283,15
284,10
285,15
286,13
287,19
288,10
289,14
290,10
291,12
292,15
293,13
294,13
295,16
296,28
297,7
298,15
299,13
300,14
301,16
302,18
303,13
304,12
305,11
306,21
307,21
308,16
309,9
310,13
311,18
312,12
313,21
314,18
315,16
316,12
317,12
318,8
319,8
320,15
321,10
322,13
323,13
324,12
325,25
326,19
327,9
328,13
329,14
330,10
331,15
332,15
333,14
334,15
335,6
336,11
337,11
338,18
339,15
340,12
341,8
342,15
343,13
344,11
345,20
346,20
347,10
348,9
349,12
350,14
351,12
352,10
353,5
354,9
355,18
356,4
357,9
358,13
359,5
360,5
361,8
362,8
363,1
364,8
365,5
366,10
367,5
368,9
369,7
370,12
371,5
372,7
373,10
374,8
375,6
376,8
377,11
378,7
379,7
380,12
381,8
382,13
383,8
384,17
385,5
386,22
387,9
388,8
389,11
390,9
391,14
392,12
393,15
394,15
395,10
396,12
397,10
398,11
399,11
400,8
401,15
402,14
403,5
404,11
405,4
406,11
407,8
408,5
409,11
410,7
411,6
412,9
413,9
414,5
415,3
416,4
417,8
418,4
419,6
420,7
421,8
422,9
423,6
424,6
425,10
426,9
427,8
428,5
429,7
430,5
431,4
432,5
433,13
434,3
435,5
436,7
437,6
438,4
439,8
440,5
441,7
442,10
443,6
444,9
445,4
446,7
447,7
448,8
449,7
450,2
451,6
452,4
453,5
454,4
455,6
456,6
457,3
458,4
459,6
460,7
461,6
462,10
463,12
464,7
465,7
466,7
467,9
468,7
469,6
470,10
471,4
472,4
473,3
474,3
475,4
476,7
477,5
478,6
479,2
480,4
481,3
482,4
483,4
484,0
485,5
486,6
487,2
488,1
489,4
490,1
491,3
492,2
493,3
494,2
495,4
496,4
497,4
498,6
499,1
500,8
501,4
502,4
503,1
504,3
505,2
506,1
507,1
508,6
509,1
510,0
511,7
512,6
513,2
514,2
515,2
516,0
517,1
518,0
519,2
520,3
521,1
522,0
523,0
524,0
525,1
526,2
527,0
528,1
529,0
530,2
531,4
532,2
