,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,1
49,0
50,1
51,1
52,1
53,0
54,4
55,2
56,3
57,2
58,4
59,5
60,7
61,10
62,7
63,7
64,10
65,7
66,8
67,8
68,13
69,5
70,10
71,8
72,9
73,13
74,9
75,7
76,12
77,20
78,14
79,10
80,10
81,9
82,13
83,13
84,15
85,15
86,9
87,9
88,10
89,15
90,8
91,11
92,12
93,11
94,9
95,17
96,14
97,15
98,15
99,13
100,13
101,8
102,10
103,6
104,14
105,10
106,12
107,15
108,13
109,10
110,10
111,37
112,25
113,17
114,12
115,21
116,14
117,17
118,16
119,10
120,9
121,18
122,26
123,16
124,19
125,22
126,20
127,15
128,26
129,11
130,15
131,12
132,14
133,14
134,11
135,14
136,18
137,18
138,13
139,14
140,10
141,13
142,22
143,9
144,14
145,10
146,30
147,12
148,12
149,13
150,8
151,10
152,12
153,12
154,13
155,13
156,22
157,18
158,16
159,21
160,12
161,13
162,15
163,13
164,17
165,23
166,13
167,18
168,12
169,13
170,17
171,21
172,31
173,14
174,20
175,25
176,18
177,16
178,20
179,15
180,19
181,26
182,20
183,33
184,17
185,31
186,21
187,16
188,17
189,18
190,14
191,19
192,16
193,21
194,11
195,24
196,12
197,26
198,23
199,22
200,21
201,19
202,19
203,17
204,18
205,14
206,17
207,18
208,12
209,13
210,14
211,8
212,19
213,20
214,16
215,18
216,14
217,18
218,10
219,24
220,14
221,17
222,13
223,9
224,18
225,12
226,15
227,18
228,14
229,15
230,21
231,14
232,19
233,17
234,25
235,18
236,18
237,18
238,28
239,26
240,30
241,18
242,15
243,26
244,15
245,16
246,17
247,24
248,24
249,12
250,21
251,24
252,18
253,27
254,19
255,12
256,23
257,19
258,14
259,21
260,18
261,22
262,22
263,16
264,13
265,17
266,20
267,13
268,15
269,14
270,23
271,10
272,16
273,16
274,16
275,11
276,16
277,15
278,14
279,7
280,22
281,22
282,12
283,9
284,15
285,9
286,12
287,9
288,14
289,11
290,5
291,10
292,17
293,14
294,10
295,14
296,16
297,14
298,17
299,13
300,10
301,15
302,9
303,7
304,9
305,9
306,9
307,13
308,12
309,11
310,16
311,30
312,17
313,16
314,15
315,17
316,14
317,22
318,13
319,14
320,18
321,8
322,18
323,13
324,16
325,9
326,17
327,17
328,12
329,17
330,18
331,17
332,12
333,21
334,21
335,22
336,16
337,23
338,23
339,15
340,20
341,16
342,14
343,15
344,15
345,22
346,24
347,14
348,15
349,13
350,10
351,12
352,11
353,13
354,16
355,8
356,6
357,7
358,7
359,9
360,8
361,7
362,8
363,12
364,10
365,5
366,9
367,9
368,17
369,4
370,4
371,9
372,9
373,12
374,5
375,10
376,8
377,6
378,7
379,4
380,7
381,8
382,6
383,14
384,11
385,3
386,5
387,6
388,2
389,9
390,8
391,12
392,7
393,13
394,8
395,4
396,5
397,9
398,6
399,10
400,9
401,7
402,5
403,6
404,6
405,2
406,9
407,4
408,8
409,4
410,4
411,11
412,7
413,7
414,4
415,6
416,6
417,4
418,4
419,4
420,7
421,9
422,6
423,6
424,4
425,5
426,5
427,8
428,5
429,8
430,6
431,2
432,9
433,3
434,3
435,5
436,8
437,5
438,5
439,3
440,5
441,7
442,7
443,4
444,3
445,4
446,4
447,3
448,2
449,5
450,5
451,0
452,1
453,3
454,2
455,0
456,2
457,1
458,1
459,3
460,0
461,2
462,3
463,2
464,2
465,1
466,2
467,4
468,5
469,4
470,6
471,3
472,0
473,1
474,2
475,0
476,2
477,4
478,0
479,1
480,1
481,1
482,2
483,0
484,1
485,2
486,0
487,3
488,2
489,3
490,3
491,1
492,1
493,2
494,0
495,1
496,0
497,1
498,0
499,1
500,0
501,1
502,0
503,0
504,1
505,1
506,0
507,0
508,0
509,2
510,0
511,0
512,0
513,0
514,1
515,1
516,0
517,0
518,1
519,0
520,0
521,1
522,1
523,0
524,0
525,0
526,0
527,1
528,0
529,1
530,0
531,0
532,0
