,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,2
33,0
34,0
35,1
36,1
37,1
38,0
39,1
40,0
41,1
42,2
43,1
44,2
45,3
46,4
47,9
48,12
49,11
50,9
51,10
52,11
53,17
54,16
55,17
56,37
57,42
58,20
59,34
60,32
61,47
62,43
63,49
64,40
65,49
66,62
67,62
68,70
69,61
70,80
71,56
72,49
73,50
74,80
75,83
76,74
77,72
78,58
79,73
80,62
81,68
82,76
83,63
84,59
85,57
86,69
87,84
88,60
89,60
90,78
91,88
92,70
93,93
94,71
95,93
96,93
97,67
98,55
99,75
100,80
101,68
102,68
103,61
104,80
105,64
106,66
107,63
108,61
109,80
110,66
111,57
112,78
113,60
114,62
115,90
116,66
117,65
118,71
119,68
120,68
121,52
122,57
123,74
124,70
125,68
126,73
127,66
128,62
129,60
130,77
131,63
132,76
133,103
134,60
135,72
136,68
137,81
138,72
139,68
140,69
141,77
142,75
143,67
144,69
145,63
146,57
147,79
148,68
149,81
150,69
151,53
152,71
153,77
154,61
155,56
156,63
157,71
158,84
159,68
160,78
161,93
162,74
163,114
164,87
165,104
166,78
167,88
168,73
169,78
170,60
171,66
172,80
173,71
174,55
175,71
176,97
177,81
178,96
179,69
180,61
181,90
182,85
183,78
184,77
185,89
186,79
187,85
188,59
189,68
190,100
191,75
192,81
193,81
194,106
195,86
196,63
197,73
198,69
199,94
200,79
201,91
202,80
203,82
204,81
205,72
206,76
207,76
208,78
209,69
210,94
211,66
212,67
213,84
214,71
215,83
216,76
217,88
218,94
219,64
220,75
221,108
222,88
223,87
224,89
225,77
226,93
227,78
228,80
229,76
230,75
231,83
232,81
233,71
234,81
235,71
236,65
237,78
238,71
239,90
240,88
241,78
242,95
243,68
244,77
245,83
246,76
247,74
248,69
249,72
250,85
251,98
252,76
253,89
254,98
255,87
256,89
257,91
258,95
259,80
260,73
261,94
262,62
263,81
264,90
265,85
266,86
267,85
268,75
269,74
270,86
271,85
272,107
273,75
274,80
275,81
276,81
277,78
278,88
279,65
280,105
281,99
282,80
283,99
284,72
285,74
286,77
287,78
288,85
289,80
290,107
291,72
292,95
293,77
294,102
295,109
296,91
297,85
298,105
299,75
300,76
301,89
302,63
303,82
304,92
305,81
306,87
307,84
308,83
309,66
310,76
311,80
312,82
313,85
314,77
315,92
316,73
317,113
318,98
319,85
320,94
321,98
322,103
323,95
324,97
325,84
326,71
327,83
328,87
329,67
330,78
331,107
332,79
333,90
334,71
335,83
336,77
337,81
338,86
339,85
340,92
341,79
342,82
343,79
344,74
345,84
346,83
347,97
348,93
349,105
350,94
351,87
352,89
353,71
354,88
355,108
356,92
357,97
358,84
359,88
360,86
361,89
362,87
363,78
364,86
365,75
366,105
367,77
368,85
369,83
370,84
371,81
372,70
373,96
374,77
375,84
376,86
377,69
378,85
379,59
380,58
381,91
382,76
383,88
384,78
385,73
386,68
387,67
388,84
389,63
390,87
391,75
392,69
393,69
394,72
395,73
396,93
397,83
398,74
399,72
400,77
401,84
402,64
403,56
404,68
405,76
406,69
407,75
408,75
409,62
410,66
411,67
412,55
413,57
414,62
415,72
416,62
417,68
418,53
419,70
420,52
421,57
422,58
423,75
424,66
425,69
426,89
427,72
428,53
429,84
430,77
431,54
432,76
433,61
434,63
435,59
436,61
437,61
438,73
439,69
440,56
441,61
442,57
443,50
444,70
445,58
446,66
447,86
448,56
449,62
450,64
451,70
452,60
453,73
454,65
455,67
456,76
457,53
458,67
459,84
460,81
461,63
462,58
463,64
464,61
465,52
466,57
467,80
468,55
469,48
470,54
471,68
472,55
473,55
474,66
475,49
476,51
477,76
478,66
479,50
480,57
481,58
482,55
483,45
484,56
485,54
486,46
487,57
488,47
489,51
490,58
491,58
492,40
493,48
494,39
495,55
496,42
497,35
498,49
499,50
500,42
501,51
502,48
503,61
504,34
505,43
506,44
507,50
508,42
509,41
510,42
511,44
512,29
513,45
514,43
515,42
516,39
517,33
518,48
519,49
520,45
521,42
522,43
523,44
524,42
525,50
526,59
527,51
528,44
529,44
530,50
531,43
532,37
