,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,1
41,1
42,4
43,5
44,5
45,2
46,3
47,3
48,8
49,7
50,12
51,16
52,17
53,17
54,21
55,24
56,29
57,31
58,45
59,45
60,55
61,50
62,65
63,44
64,58
65,69
66,72
67,94
68,103
69,91
70,90
71,79
72,70
73,76
74,86
75,74
76,76
77,70
78,55
79,52
80,67
81,80
82,77
83,52
84,81
85,103
86,84
87,61
88,63
89,81
90,59
91,73
92,85
93,84
94,74
95,75
96,69
97,56
98,83
99,81
100,66
101,69
102,91
103,91
104,89
105,66
106,66
107,82
108,78
109,75
110,66
111,69
112,77
113,62
114,92
115,81
116,59
117,57
118,80
119,78
120,69
121,74
122,62
123,80
124,82
125,59
126,74
127,70
128,76
129,91
130,76
131,78
132,113
133,96
134,97
135,77
136,93
137,99
138,116
139,88
140,100
141,78
142,78
143,88
144,76
145,84
146,96
147,83
148,96
149,88
150,102
151,86
152,80
153,105
154,102
155,92
156,102
157,90
158,97
159,74
160,88
161,114
162,100
163,92
164,94
165,95
166,99
167,86
168,86
169,103
170,115
171,83
172,66
173,84
174,122
175,119
176,94
177,85
178,105
179,92
180,84
181,71
182,74
183,83
184,68
185,88
186,85
187,89
188,80
189,80
190,83
191,91
192,87
193,90
194,96
195,123
196,106
197,88
198,107
199,102
200,97
201,112
202,117
203,76
204,102
205,96
206,133
207,109
208,125
209,87
210,126
211,104
212,105
213,104
214,126
215,106
216,97
217,126
218,111
219,100
220,106
221,100
222,83
223,100
224,91
225,92
226,101
227,84
228,102
229,107
230,92
231,97
232,101
233,101
234,106
235,86
236,85
237,95
238,84
239,106
240,102
241,99
242,108
243,87
244,90
245,106
246,90
247,101
248,85
249,92
250,94
251,75
252,90
253,101
254,92
255,80
256,90
257,90
258,98
259,81
260,102
261,96
262,87
263,100
264,93
265,108
266,81
267,90
268,84
269,69
270,90
271,91
272,115
273,127
274,130
275,95
276,114
277,90
278,97
279,111
280,88
281,91
282,98
283,87
284,91
285,99
286,75
287,99
288,101
289,73
290,86
291,82
292,78
293,88
294,89
295,87
296,79
297,79
298,66
299,64
300,65
301,75
302,66
303,86
304,81
305,87
306,71
307,70
308,68
309,87
310,70
311,89
312,106
313,82
314,69
315,79
316,80
317,96
318,101
319,76
320,82
321,83
322,67
323,78
324,64
325,94
326,79
327,91
328,77
329,74
330,65
331,97
332,105
333,90
334,93
335,67
336,88
337,73
338,82
339,67
340,74
341,90
342,73
343,78
344,58
345,96
346,91
347,79
348,70
349,81
350,72
351,75
352,98
353,79
354,60
355,84
356,76
357,80
358,78
359,73
360,69
361,67
362,68
363,66
364,67
365,64
366,73
367,63
368,63
369,69
370,84
371,69
372,60
373,71
374,61
375,67
376,75
377,62
378,52
379,62
380,64
381,51
382,57
383,69
384,64
385,58
386,61
387,59
388,79
389,46
390,60
391,53
392,66
393,71
394,51
395,57
396,61
397,51
398,66
399,72
400,52
401,59
402,58
403,64
404,73
405,57
406,65
407,71
408,80
409,68
410,61
411,65
412,68
413,59
414,61
415,70
416,54
417,52
418,55
419,59
420,72
421,67
422,54
423,49
424,61
425,44
426,58
427,47
428,55
429,53
430,64
431,63
432,43
433,43
434,46
435,62
436,43
437,56
438,57
439,51
440,59
441,52
442,46
443,54
444,51
445,56
446,56
447,42
448,49
449,49
450,45
451,39
452,44
453,32
454,46
455,33
456,53
457,53
458,48
459,37
460,47
461,47
462,35
463,34
464,36
465,40
466,56
467,59
468,44
469,43
470,37
471,37
472,35
473,42
474,40
475,39
476,48
477,49
478,52
479,34
480,45
481,51
482,37
483,45
484,46
485,47
486,38
487,32
488,37
489,28
490,40
491,34
492,49
493,51
494,59
495,52
496,59
497,23
498,29
499,40
500,24
501,34
502,42
503,29
504,34
505,33
506,46
507,26
508,36
509,23
510,34
511,38
512,31
513,35
514,48
515,31
516,48
517,30
518,31
519,30
520,33
521,26
522,32
523,37
524,49
525,42
526,47
527,36
528,35
529,34
530,41
531,34
532,36
